"STATION","NAME","DATE","TMAX","TMIN"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-18","56","40"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-19","73","49"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-20","76","56"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-21","75","56"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-22","64","54"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-23","64","52"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-24","67","52"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-25","59","47"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-26","58","49"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-27","57","52"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-28","57","40"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-29","48","38"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-30","58","42"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-10-31","53","45"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-11-01","65","43"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-11-02","73","53"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-11-03","69","52"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-11-04","73","53"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-11-05","70","62"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-11-06","66","45"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-11-07","53","41"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-11-08","54","41"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-11-09","53","42"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-11-10","54","45"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-11-11","64","43"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-11-12","57","40"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-11-13","48","37"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-11-14","57","35"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-11-15","65","46"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-11-16","60","47"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-11-17","60","48"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-11-18","62","49"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-11-19","50","38"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-11-20","43","32"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-11-21","37","23"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-11-22","28","16"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-11-23","41","28"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-11-24","47","33"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-11-25","53","40"
